NLQuery,MySQL
List all individuals whose native country is 'South'.,SELECT * FROM adult_preprocessed WHERE `native-country` = 'South';
List all individuals whose native country is 'Puerto-Rico'.,SELECT * FROM adult_preprocessed WHERE `native-country` = 'Puerto-Rico';
List all individuals whose native country is 'Honduras'.,SELECT * FROM adult_preprocessed WHERE `native-country` = 'Honduras';
List all people with education level 'Bachelors' who work at least 40 hours per week.,SELECT * FROM adult_preprocessed WHERE education = 'Bachelors' AND `hours-per-week` >= 40;
List all people with education level 'HS-grad' who work at least 40 hours per week.,SELECT * FROM adult_preprocessed WHERE education = 'HS-grad' AND `hours-per-week` >= 40;
List all people with education level '11th' who work at least 40 hours per week.,SELECT * FROM adult_preprocessed WHERE education = '11th' AND `hours-per-week` >= 40;
List all people with education level 'Masters' who work at least 40 hours per week.,SELECT * FROM adult_preprocessed WHERE education = 'Masters' AND `hours-per-week` >= 40;
List all people with education level '9th' who work at least 40 hours per week.,SELECT * FROM adult_preprocessed WHERE education = '9th' AND `hours-per-week` >= 40;
List all records where capital gain is greater than zero.,SELECT * FROM adult_preprocessed WHERE `capital-gain` > 0;
Count how many records have a positive capital gain.,SELECT COUNT(*) AS cnt FROM adult_preprocessed WHERE `capital-gain` > 0;
List all individuals whose marital status is 'Never-married'.,SELECT * FROM adult_preprocessed WHERE `marital-status` = 'Never-married';
List all individuals whose marital status is 'Married-civ-spouse'.,SELECT * FROM adult_preprocessed WHERE `marital-status` = 'Married-civ-spouse';
List all individuals whose marital status is 'Divorced'.,SELECT * FROM adult_preprocessed WHERE `marital-status` = 'Divorced';
List all individuals whose marital status is 'Married-spouse-absent'.,SELECT * FROM adult_preprocessed WHERE `marital-status` = 'Married-spouse-absent';
List all individuals whose marital status is 'Separated'.,SELECT * FROM adult_preprocessed WHERE `marital-status` = 'Separated';
List all individuals whose marital status is 'Married-AF-spouse'.,SELECT * FROM adult_preprocessed WHERE `marital-status` = 'Married-AF-spouse';
Compute the average age for each marital status and sex combination.,"SELECT `marital-status`, sex, AVG(age) AS avg_age FROM adult_preprocessed GROUP BY `marital-status`, sex;"
Count how many people there are for each marital status.,"SELECT `marital-status`, COUNT(*) AS cnt FROM adult_preprocessed GROUP BY `marital-status`;"
List all individuals whose relationship status is 'Not-in-family'.,SELECT * FROM adult_preprocessed WHERE relationship = 'Not-in-family';
List all individuals whose relationship status is 'Husband'.,SELECT * FROM adult_preprocessed WHERE relationship = 'Husband';
List all individuals whose relationship status is 'Wife'.,SELECT * FROM adult_preprocessed WHERE relationship = 'Wife';
List all individuals whose relationship status is 'Own-child'.,SELECT * FROM adult_preprocessed WHERE relationship = 'Own-child';
List all individuals whose relationship status is 'Unmarried'.,SELECT * FROM adult_preprocessed WHERE relationship = 'Unmarried';
List all individuals whose relationship status is 'Other-relative'.,SELECT * FROM adult_preprocessed WHERE relationship = 'Other-relative';
Count how many individuals are marked as 'Husband' in the relationship column.,SELECT COUNT(*) AS cnt FROM adult_preprocessed WHERE relationship = 'Husband';
Group individuals into age buckets of 10 years and count how many people fall into each bucket.,"SELECT FLOOR(age / 10) * 10 AS age_bucket,
       COUNT(*) AS cnt
FROM adult_preprocessed
GROUP BY FLOOR(age / 10) * 10
ORDER BY age_bucket;"
Compute the average number of hours worked per week for each sex.,"SELECT sex, AVG(`hours-per-week`) AS avg_hours FROM adult_preprocessed GROUP BY sex;"
List all records where capital loss is greater than zero.,SELECT * FROM adult_preprocessed WHERE `capital-loss` > 0;
Compute the maximum capital loss value.,SELECT MAX(`capital-loss`) AS max_capital_loss FROM adult_preprocessed;
Compute the average capital loss grouped by race.,"SELECT race, AVG(`capital-loss`) AS avg_capital_loss FROM adult_preprocessed GROUP BY race;"
List all distinct workclass values.,SELECT DISTINCT workclass FROM adult_preprocessed;
List all distinct occupations.,SELECT DISTINCT occupation FROM adult_preprocessed;
List all distinct native countries (excluding unknown).,SELECT DISTINCT `native-country` FROM adult_preprocessed WHERE `native-country` <> '?';
List all male individuals older than 40 with an education-num greater than 10.,SELECT * FROM adult_preprocessed WHERE sex = 'Male' AND age > 40 AND `education-num` > 10;
List all female individuals younger than 30 with an education-num of at least 12.,SELECT * FROM adult_preprocessed WHERE sex = 'Female' AND age < 30 AND `education-num` >= 12;
List all individuals who work between 30 and 50 hours per week.,SELECT * FROM adult_preprocessed WHERE `hours-per-week` BETWEEN 30 AND 50;
Count how many individuals work less than 20 hours per week.,SELECT COUNT(*) AS cnt FROM adult_preprocessed WHERE `hours-per-week` < 20;
